"access","author","category","consortium","filename","id","mr","ncase","ncontrol","note","nsnp","path","pmid","population","priority","sample_size","sd","sex","subcategory","trait","unit","year"
"public","Okbay","Risk factor","SSGAC","Neuroticism_Full.txt.gz.tab","1007",1,NA,NA,NA,6524433,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_27089181",27089181,"European",1,170911,NA,"Males and females","Personality","Neuroticism","SD",2016
"public","Gieger C","Risk factor","HaemGen","PLT.txt.tab","1008",1,NA,NA,NA,2703394,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/HaemGen_platelets/data",22139419,"European",1,66867,59.934,"Males and females","Haemotological","Platelet count","1x10^9/l",2011
"public","Okbay","Risk factor","SSGAC","SWB_Full.txt.gz.tab","1009",1,NA,NA,NA,2268675,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/dev/release_candidate/data/results/passqc",27089181,"European",1,298420,NA,"Males and females","Psychiatric / neurological","Subjective well being","SD",2016
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_WOMEN_N.txt.tab","101",1,NA,NA,"Adjusted for BMI",2725796,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",16,73137,8.4548,"Females","Anthropometric","Hip circumference","SD (cm)",2013
"public","Okbay","Risk factor","SSGAC","EduYears_Main_Men.txt.gz.tab","1010",1,NA,NA,NA,7781138,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_education_educational_attainment_2016/",27225129,"European",3,146631,3.71,"Males","Education","Years of schooling","SD (years)",2016
"public","Okbay","Risk factor","SSGAC","EduYears_Main_Women.txt.gz.tab","1011",1,NA,NA,NA,7643301,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_education_educational_attainment_2016/",27225129,"European",4,182286,3.71,"Females","Education","Years of schooling","SD (years)",2016
"public","Bolton JL","Risk factor","CORNET","gwama_1_fixed.out.plasma_cortisol.tab","1012",1,NA,NA,NA,2660192,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Bolton25010111/",25010111,"European",1,12597,NA,"Males and females","Hormone","Plasma cortisol","SD",2014
"public","Paterson AD","Risk factor","DCCT & EDIC","phs000086.pha002871.csv.tab","1014",0,NA,NA,"Only P values available; all subjects had type 1 diabetes",841305,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Paterson_19729612",19729612,"European",1,685,0.1026116,"Males and females","Immune system","E-selectin","log ng/ml",2009
"public","Okada Y","Risk factor","BioBank Japan Project","GWASsummary_Okada_PMID21196492_20160919.txt.gz.tab","1015",1,NA,NA,NA,2178019,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Okada21196492/",21196492,"Japanese",1,10112,NA,"Males and females","Immune system","C-reactive protein","SD",2016
"public","Goris A","Risk factor",NA,"Brain_2015_Goris_OCB.meta.tab","1016",1,363,2663,"All subjects had multiple sclerosis; effect allele frequeinces are missing",485523,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Goris25616667/Brain_2015_Goris/",25616667,"European",1,3026,NA,"Males and females","Immune system","Oligoclonal band status","log odds",2015
"public","Goris A","Risk factor",NA,"Brain_2015_Goris_IgG.meta.tab.all_neg","1017",1,NA,NA,"All subjects had multiple sclerosis; effect allele frequeinces are missing",242775,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Goris25616667/Brain_2015_Goris/",25616667,"European",1,938,3.44,"Males and females","Immune system","Immunoglobulin G index levels","log2 IgG index ratio",2015
"public","Okbay","Risk factor","SSGAC","SWB_excl_ALSPAC_TEDS_23andMe_ldscGC_sumstats.txt.tab","1018",1,NA,NA,"ALSPAC; TEDS and 23andMe excluded (ALSPAC=5649; 23andME=93454; TEDS=2143)",2264177,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/SSGAC_27089181",27089181,"European",3,197174,NA,"Males and females","Psychiatric / neurological","Subjective well being","SD",2016
"public","Jacobsen KK","Risk factor",NA,"TGEN_mig_bp_log_frq_hwe.txt.tab","1019",1,460,924,NA,723225,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Jacobsen25451450",25451450,"European",1,1374,NA,"Males and females","Psychiatric / neurological","Migraine in bipolar disorder","log odds",2015
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WC_MEN_N.txt.tab","102",1,NA,NA,NA,2745544,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",7,60586,12.52,"Males","Anthropometric","Waist circumference","SD (cm)",2013
"public","Manichaikul A","Risk factor","MESA","MESA_hispaniclogemph950Model2_21112011filter0.8.csv.tab","1020",1,NA,NA,NA,2585998,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema",24383474,"Hispanic",4,2065,0.663,"Males and females","Lung disease","Percent emphysema","log (% emphysema + 1)",2014
"public","Manichaikul A","Risk factor","MESA","MESA_chineselogemph950Model2_21112011filter0.8.csv.tab","1021",1,NA,NA,NA,2011196,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema",24383474,"Chinese",5,702,0.697,"Males and females","Lung disease","Percent emphysema","log (% emphysema + 1)",2014
"public","Manichaikul A","Risk factor","MESA","MESA_whitelogemph950Model2_21112011filter0.8.csv.tab","1022",1,NA,NA,NA,2390490,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema",24383474,"European",2,2431,0.719,"Males and females","Lung disease","Percent emphysema","log (% emphysema + 1)",2014
"public","Manichaikul A","Risk factor","MESA","MESA_blacklogemph950Model2_21112011filter0.8.csv.tab","1023",1,NA,NA,NA,2681851,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/MESA_emphysema",24383474,"African American",3,2469,0.736,"Males and females","Lung disease","Percent emphysema","log (% emphysema + 1)",2014
"public","Sawcer S","Disease","IMSGC","WTCCC2_2011.txt.tab","1024",1,9722,17376,NA,465435,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/IMSGC_21833088_24076602",21833088,"European",1,27098,NA,"Males and females","Autoimmune / inflammatory","Multiple sclerosis","log odds",2011
"public","Beecham","Disease","IMSGC","IChip_2013.txt.new.tab.all_pos","1025",1,14498,24091,NA,156632,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/IMSGC_21833088_24076602",24076602,"European",1,38589,NA,"Males and females","Autoimmune / inflammatory","Multiple sclerosis","log odds",2013
"public",NA,"Disease","IAC","AAA_MetaGWAS.tab","1026",0,4972,99858,"Only P-values available",5341028,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/IAC_Abdominal_aortic_aneurysm/",NA,"European",1,104830,NA,"Males and females","Cardiovascular","Abdominal aortic aneurysm",NA,NA
"public","Ober","Risk factor",NA,"phs000184.pha002870.csv.tab","1027",0,NA,NA,"Only P-values available",290329,"/projects/MRC-IEU/publicdata/GWAS_summary_data/dbGAP_collections/Lp_a",19124843,"European",1,357,NA,"Males and females","Lipid","Lp(a) Levels",NA,2009
"public","Pappa","Disease","EAGLE","EAGLE_aggression_Public.txt.tab","1028",0,NA,NA,"Only P values are available",2188529,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EAGLE_ADHD_Aggression_Internalizing_problems/",26087016,"European",1,18988,NA,"Males and females","Psychiatric / neurological","Aggression",NA,2016
"public","Benke","Disease","EAGLE","meta3.INTsnplist_F.txt.tab","1029",1,NA,NA,"In preschool; effect allele frequencies are missing",2821735,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EAGLE_ADHD_Aggression_Internalizing_problems/",24839885,"European",1,4596,NA,"Males and females","Psychiatric / neurological","Internalizing problems",NA,2014
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WC_WOMEN_N.txt.tab","103",1,NA,NA,NA,2740385,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",8,73137,12.52,"Females","Anthropometric","Waist circumference","SD (cm)",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_10F.txt.gz.tab","1032",1,NA,NA,"Age 10; effect allele frequencies are missing",2393631,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,6974,NA,"Females","Anthropometric","Height","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_12M.txt.gz.tab","1033",1,NA,NA,"Age 12; effect allele frequencies are missing",2500338,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,6986,NA,"Males","Anthropometric","Height","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_10F_12M_combined.txt.gz.tab","1034",1,NA,NA,"Females at age 10 and males at age 12; effect allele frequencies are missing",2479700,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,13960,NA,"Males and females","Anthropometric","Height","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_PGF.txt.gz.tab","1035",1,NA,NA,"Childhood at age 8; effect allele frequencies are missing",2390840,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,5756,NA,"Females","Anthropometric","Difference in height between childhood and adulthood","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_PGM.txt.gz.tab","1036",1,NA,NA,"Childhood at age 8; effect allele frequencies are missing",2391721,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,5043,NA,"Males","Anthropometric","Difference in height between childhood and adulthood","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_PGF_PGM_combined.txt.gz.tab","1037",1,NA,NA,"Childhood at age 8; effect allele frequencies are missing",2384832,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,10799,NA,"Males and females","Anthropometric","Difference in height between childhood and adulthood","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_PTF.txt.gz.tab","1038",1,NA,NA,"Adolescence at age 14; effect allele frequencies are missing",2400928,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,4946,NA,"Females","Anthropometric","Difference in height between adolescence and adulthood","SD",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_PTM.txt.gz.tab","1039",1,NA,NA,"Adolescence at age 14; effect allele frequencies are missing",2401290,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,4282,NA,"Males","Anthropometric","Difference in height between adolescence and adulthood","SD",2013
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN_N.txt.tab","104",1,NA,NA,"Adjusted for BMI",2744366,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",15,60586,12.52,"Males","Anthropometric","Waist circumference","SD (cm)",2013
"public","Cousminer","Risk factor","EGG","Pubertal_growth_PTF_PTM_combined.txt.gz.tab","1040",1,NA,NA,"Adolescence at age 14; effect allele frequencies are missing",2401290,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/",23449627,"European",1,9228,NA,"Males and females","Anthropometric","Difference in height between adolescence and adulthood","SD",2013
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_ICV_Combined_GenomeControlled_Jan23.tbl.gz.tab","1041",1,NA,NA,NA,7484970,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Intracranial volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanAccumbens_Combined_GenomeControlled_Jan23.tbl.gz.tab","1042",1,NA,NA,"adjusted for intracranial volume",7272653,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Nucleus accumbens volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanAmygdala_Combined_GenomeControlled_Jan23.tbl.gz.tab","1043",1,NA,NA,"adjusted for intracranial volume",7252270,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Amygdala volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanCaudate_Combined_GenomeControlled_Jan23.tbl.gz.tab","1044",1,NA,NA,"adjusted for intracranial volume",7277001,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Caudate volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanHippocampus_Combined_GenomeControlled_Jan23.tbl.gz.tab","1045",1,NA,NA,"adjusted for intracranial volume",7276413,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Hippocampus volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanPallidum_Combined_GenomeControlled_Jan23.tbl.gz.tab","1046",1,NA,NA,"adjusted for intracranial volume",7270265,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Pallidum volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanPutamen_Combined_GenomeControlled_Jan23.tbl.gz.tab","1047",1,NA,NA,"adjusted for intracranial volume",7282885,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Putamen volume","mm3",2015
"public","Hibar","Risk factor","ENIGMA","ENIGMA2_MeanThalamus_Combined_GenomeControlled_Jan23.tbl.gz.tab","1048",1,NA,NA,"adjusted for intracranial volume",7288410,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/ENIGMA/",25607358,"European",1,30717,NA,"Males and females","Psychiatric / neurological","Thalamus volume","mm3",2015
"public","Benyamin","Risk factor","GIS","Iron_Benyamin_NatCom_2014.txt.tab","1049",1,NA,NA,"Effect allele frequencies are missing",2096457,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",25352340,"European",1,23986,NA,"Males and females","Metal","Iron","SD",2014
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_WOMEN_N.txt.tab","105",1,NA,NA,"Adjusted for BMI",2738338,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",16,73137,12.52,"Females","Anthropometric","Waist circumference","SD (cm)",2013
"public","Benyamin","Risk factor","GIS","Log10Ferritin_Benyamin_NatCom_2014.txt.tab","1050",1,NA,NA,"Effect allele frequencies are missing",2036124,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",25352340,"European",1,23986,NA,"Males and females","Metal","Ferritin","SD",2014
"public","Benyamin","Risk factor","GIS","Saturation_Benyamin_NatCom_2014.txt.tab","1051",1,NA,NA,"Effect allele frequencies are missing",2102226,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",25352340,"European",1,23986,NA,"Males and females","Metal","Transferrin Saturation","SD",2014
"public","Benyamin","Risk factor","GIS","Transferrin_Benyamin_NatCom_2014.txt.tab","1052",1,NA,NA,"Effect allele frequencies are missing",2104242,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",25352340,"European",1,23986,NA,"Males and females","Metal","Transferrin","SD",2014
"public","Kottgen","Disease","GUGC","GUGC_MetaAnalysis_Results_Gout.csv.tab","1054",1,2115,67259,"Effect allele frequencies are missing",2450548,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/GUGC_released_in_2015",23263486,"European",1,69374,NA,"Males and females","Autoimmune / inflammatory","Gout","log odds",2013
"public","Kottgen","Risk factor","GUGC","GUGC_MetaAnalysis_Results_UA.csv.tab","1055",1,NA,NA,"Effect allele frequencies are missing",2450548,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/GUGC_released_in_2015",23263486,"European",1,110347,1.33,"Males and females","Other","Urate","mg/dl",2013
"public","den Hoed M","Risk factor","HRgene consortium","META_STAGE1_GWASHR_SUMSTATS.txt.tab","1056",1,NA,NA,"92% European",2516790,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/denHoed_HeartRate",23583979,"Mixed",1,92355,NA,"Males and females","Hemodynamic","Heart rate","beats per minute",2013
"public","Cha","Disease",NA,"GC_Summary_stat_MRbase.txt.tab","1057",1,41,866,"Japanese subjects",425707,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Cha_gallbladder_cancer/",22318345,"East Asian",1,907,NA,"Males and females","Cancer","Gallbladder cancer","log odds",2012
"public","Trynka","Disease",NA,"final4_ultraclean.assoc.logistic.ADD.tab","1058",1,12041,12228,"Immuno-chip; effect allele frequencies are missing",38037,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/CeliacDisease_22057235_20190752/",22057235,"European",1,24269,NA,"Males and females","Autoimmune / inflammatory","Celiac disease","log odds",2011
"public","Dubois","Disease",NA,"FinnuncorrNLITUK1UK3hap300_unadjusted.cmh.txt.tab","1059",1,4533,10750,"Effect allele frequencies are missing",292388,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/CeliacDisease_22057235_20190752/",20190752,"European",1,15283,NA,"Males and females","Autoimmune / inflammatory","Celiac disease","log odds",2010
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_MEN_N.txt.tab","106",1,NA,NA,NA,2760790,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",1,60586,13.36,"Males","Anthropometric","Weight","SD (kg)",2013
"public","Dubois","Disease",NA,"FinnuncorrNLITUK3hap250_unadjusted.cmh.txt.tab","1060",1,3796,8154,"Effect allele frequencies are missing",231359,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/CeliacDisease_22057235_20190752/",20190752,"European",1,11950,NA,"Males and females","Autoimmune / inflammatory","Celiac disease","log odds",2010
"public","Luciano","Risk factor",NA,"METAANALYSIS2.factor.TBL.new.tab","1061",1,NA,NA,"Information processing speed from factor analysis",2402695,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836",21130836,"European",1,2430,1,"Males and females","Psychiatric / neurological","G speed factor","SD",2011
"public","Luciano","Risk factor",NA,"addSS_LBC1936.txt.tab","1062",1,NA,NA,"Metric of information processing speed",2529394,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,991,6.28,"Males and females","Psychiatric / neurological","Symbol search","SD (milliseconds)",2011
"public","Luciano","Risk factor",NA,"avg8CRT_QIMR_021209.txt.tab","1063",1,NA,NA,"Metric of information processing speed",2383239,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,1382,100.47,"Males and females","Psychiatric / neurological","8-choice reaction time","SD (milliseconds)",2011
"public","Luciano","Risk factor",NA,"METAANALYSIS11.TBL.2crtm2cohorts.new.tab","1064",1,NA,NA,"Metric of information processing speed",2415500,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,2602,81.45,"Males and females","Psychiatric / neurological","2-choice reaction time","SD (milliseconds)",2011
"public","Luciano","Risk factor",NA,"METAANALYSIS1.IT.TBL.new.tab","1065",1,NA,NA,"Metric of information processing speed",2402666,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,2645,48.34,"Males and females","Psychiatric / neurological","Inspection time","SD (milliseconds)",2011
"public","Luciano","Risk factor",NA,"METAANALYSIS1.SRT.TBL.new.tab","1066",1,NA,NA,"Metric of information processing speed",2415500,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,2378,75.43,"Males and females","Psychiatric / neurological","Simple reaction time","SD (milliseconds)",2011
"public","Luciano","Risk factor",NA,"METAANALYSIS1.TBL.DS3cohorts.new.tab","1067",1,NA,NA,"Metric of information processing speed",2402676,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,2956,11.86,"Males and females","Psychiatric / neurological","Digit symbol","SD (number correct in 90/120 seconds)",2011
"public","Luciano","Risk factor",NA,"METAANALYSIS2.4CRT.TBL.new.tab","1068",1,NA,NA,"Metric of information processing speed",2402691,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Luciano21130836/",21130836,"European",1,2829,105.07,"Males and females","Psychiatric / neurological","4-choice reaction time","SD (milliseconds)",2011
"public","Chan","Risk factor",NA,"SHR.INVNORMAL.AfricanAmericans.Stage1.RELEASE.ROUNDED.tbl.gz.tab","1069",1,NA,NA,"Ratio of sitting height to total height; effect allele frequencies are missing",14202955,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Chan_25865494_sitting-height-ratio/",25865494,"African American",1,3545,NA,"Males and females","Anthropometric","Sitting height ratio","SD",2015
"public","Randall JC","Risk factor","GIANT","GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_WOMEN_N.txt.tab","107",1,NA,NA,NA,2747007,"/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2010_2012_2013",23754948,"European",2,73137,13.57,"Females","Anthropometric","Weight","SD (kg)",2013
"public","Chan","Risk factor",NA,"SHR.INVNORMAL.EuropeanAncestry.Stage1.RELEASE.ROUNDED.tbl.gz.tab","1070",1,NA,NA,"Ratio of sitting height to total height; effect allele frequencies are missing",7710729,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Chan_25865494_sitting-height-ratio/",25865494,"European",1,21590,NA,"Males and females","Anthropometric","Sitting height ratio","SD",2015
"public","Chan","Risk factor",NA,"SHR.FEMALES.INVNORMAL.EuropeanAncestry.Stage1.RELEASE.ROUNDED.tbl.gz.tab","1071",1,NA,NA,"Ratio of sitting height to total height; effect allele frequencies are missing",7707032,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Chan_25865494_sitting-height-ratio/",25865494,"European",1,12965,NA,"Females","Anthropometric","Sitting height ratio","SD",2015
"public","Chan","Risk factor",NA,"SHR.MALES.INVNORMAL.EuropeanAncestry.Stage1.RELEASE.ROUNDED.tbl.gz.tab","1072",1,NA,NA,"Ratio of sitting height to total height; effect allele frequencies are missing",7651791,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Chan_25865494_sitting-height-ratio/",25865494,"European",1,8625,NA,"Males","Anthropometric","Sitting height ratio","SD",2015
"public","Evans","Risk factor",NA,"Cu_autosomes.txt.tab","1073",1,NA,NA,"Effect allele frequencies are missing",2543646,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",23720494,"European",1,2603,NA,"Males and females","Metal","Copper","SD",2013
"public","Evans","Risk factor",NA,"Cu_ChrX.txt.tab","1074",1,NA,NA,"Effect allele frequencies are missing",13771,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",23720494,"European",1,2603,NA,"Males and females","Metal","Copper","SD",2013
"public","Evans","Risk factor",NA,"Se_ALSPAC_autosomes.txt.tab","1075",1,NA,NA,"Effect allele frequencies are missing",2451527,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",23720494,"European",1,2874,NA,"Females","Metal","Selenium","SD",2013
"public","Evans","Risk factor",NA,"Se_ALSPAC_ChrX.txt.tab","1076",1,NA,NA,"Effect allele frequencies are missing",36697,"/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Evans_blood_metal/",23720494,"European",1,2874,NA,"Females","Metal","Selenium","SD",2013
